API,excipient,API_percent,exc_percent,API_coated,API_coat_percent,exc_coated,exc_coat_percent,FF,FF_regime
2,22,25,75,1,75,0,0,3.7425,2
2,22,75,25,0,0,0,0,3.7715,2
2,22,25,75,1,25,0,0,3.9031,2
2,22,50,50,1,100,0,0,3.9178,2
2,22,75,25,1,100,0,0,3.9867,2
2,22,75,25,1,75,0,0,4.0449,3
2,22,75,25,1,1,0,0,4.0596,3
2,22,75,25,1,50,0,0,4.3,3
2,22,50,50,1,50,0,0,4.3772,3
2,22,100,0,1,100,0,0,4.46,3
2,22,50,50,1,75,0,0,4.8394,3
2,22,75,25,1,100,1,100,4.934256,3
2,22,50,50,0,0,1,100,6.68,3
2,22,50,50,1,100,1,100,7.34,3
2,22,25,75,1,100,1,100,8.91,3
2,22,25,75,0,0,1,100,10.4,4
2,22,0,100,0,0,1,100,15,4
2,33,75,25,1,25,0,0,2.0709,2
2,33,75,25,1,50,0,0,2.4049,2
2,33,75,25,1,1,0,0,2.5916,2
2,33,75,25,0,0,0,0,2.6137,2
2,33,75,25,1,75,0,0,2.6199,2
2,33,50,50,1,50,0,0,2.8609,2
2,33,75,25,0,0,1,100,2.94,2
2,33,100,0,0,0,0,0,2.98,2
2,33,50,50,1,25,0,0,3.0343,2
2,33,50,50,0,0,1,100,3.559685,2
2,33,50,50,1,75,0,0,3.8129,2
2,33,50,50,1,100,0,0,3.8967,2
2,33,100,0,1,100,0,0,4.46,3
2,33,50,50,0,0,0,0,4.59,3
2,33,25,75,1,25,0,0,4.9473,3
2,33,75,25,1,100,0,0,5.04,3
2,33,50,50,1,1,0,0,5.125,3
2,33,25,75,1,75,0,0,5.3533,3
2,33,25,75,1,50,0,0,6.4353,3
2,33,25,75,0,0,1,100,6.69,3
2,33,25,75,1,1,0,0,7.1509,3
2,33,25,75,1,100,0,0,8.0466,3
2,33,25,75,0,0,0,0,9.44,3
2,33,0,100,0,0,0,0,11,4
2,33,0,100,0,0,1,100,15,4
2,55,0,100,0,0,0,0,1.52,1
2,55,50,50,1,25,0,0,1.6566,1
2,55,25,75,1,75,0,0,1.8405,1
2,55,25,75,0,0,0,0,2.0561,2
2,55,25,75,1,25,0,0,2.31,2
2,55,75,25,1,50,0,0,2.3837,2
2,55,75,25,1,25,0,0,2.5109,2
2,55,50,50,0,0,0,0,2.7564,2
2,55,75,25,0,0,0,0,2.8014,2
2,55,25,75,1,50,0,0,2.8104,2
2,55,25,75,1,1,0,0,2.8651,2
2,55,100,0,0,0,0,0,2.98,2
2,55,25,75,1,100,0,0,3.1788,2
2,55,50,50,1,75,0,0,3.265,2
2,55,50,50,1,1,0,0,3.3925,2
2,55,50,50,1,50,0,0,3.5531,2
2,55,75,25,1,1,0,0,3.879,2
2,55,50,50,1,100,0,0,4,3
2,55,75,25,1,75,0,0,4.0649,3
2,55,75,25,1,100,0,0,4.1108,3
2,55,50,50,1,100,1,100,4.41,3
2,55,100,0,1,100,0,0,4.46,3
2,55,75,25,1,100,1,100,4.47,3
2,55,0,100,0,0,1,100,4.73,3
2,55,25,75,1,100,1,100,5.66,3
3,11,75,25,0,0,0,0,2.2295,2
3,11,100,0,0,0,0,0,3.2,2
3,11,75,25,1,50,0,0,4.147,3
3,11,50,50,0,0,0,0,4.2581,3
3,11,100,0,1,100,0,0,5.4,3
3,11,25,75,0,0,0,0,5.5047,3
3,11,75,25,1,25,0,0,6.7069,3
3,11,75,25,1,75,0,0,8.1502,3
3,11,50,50,1,25,0,0,8.1767,3
3,11,0,100,0,0,0,0,9.4,3
3,11,25,75,1,25,0,0,9.8298,3
3,11,50,50,1,75,0,0,10.24,4
3,11,25,75,1,50,0,0,14.5282,4
3,11,0,100,0,0,1,100,15,4
3,11,75,25,1,100,0,0,15.0376,4
3,11,25,75,1,75,0,0,20.1249,4
3,11,50,50,1,100,0,0,21.3667,4
3,11,25,75,1,100,0,0,22.6,4
3,11,50,50,1,50,0,0,22.6322,4
3,22,0,100,0,0,0,0,2.35,2
3,22,100,0,0,0,0,0,3.2,2
3,22,50,50,0,0,0,0,3.8961,2
3,22,25,75,0,0,0,0,3.9651,2
3,22,25,75,1,75,0,0,4.0605,3
3,22,75,25,0,0,0,0,4.1778,3
3,22,75,25,1,25,0,0,4.3993,3
3,22,75,25,1,50,0,0,4.5,3
3,22,75,25,1,100,0,0,4.8629,3
3,22,50,50,1,100,0,0,5.0763,3
3,22,25,75,1,50,0,0,5.0765,3
3,22,25,75,1,100,0,0,5.0971,3
3,22,25,75,1,25,0,0,5.2396,3
3,22,50,50,1,25,0,0,5.2713,3
3,22,50,50,1,50,0,0,5.2784,3
3,22,50,50,1,75,0,0,5.3244,3
3,22,100,0,1,100,0,0,5.4,3
3,22,75,25,1,75,0,0,7.0275,3
3,22,25,75,0,0,1,100,11.087227,4
3,22,75,25,0,0,1,100,12,4
3,22,0,100,0,0,1,100,15,4
3,22,50,50,0,0,1,100,18.32803,4
3,33,100,0,0,0,0,0,3.2,2
3,33,75,25,0,0,0,0,3.9091,2
3,33,50,50,0,0,0,0,4.0492,3
3,33,25,75,0,0,0,0,5.2368,3
3,33,100,0,1,100,0,0,5.4,3
3,33,0,100,0,0,0,0,11,4
3,33,0,100,0,0,1,100,15,4
3,44,0,100,0,0,0,0,2.43,2
3,44,50,50,1,25,0,0,2.5876,2
