API,excipient,API_percent,API_coated,API_coat_percent,exc_coated,exc_coat_percent,API_silica_type,exc_silica_type,API_d10,API_d50,API_d90,API_d32,API_surf_eng,API_density,exc_d10,exc_d50,exc_d90,exc_d32,exc_surf_eng,exc_density,FF,FF_regime,API AR(-),API 1/AR,API Sphericity(-),API Elongation(-),exc AR(-),exc 1/AR,exc Sphericity(-),exc Elongation(-),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,111,100,1,100,0,0,1,0,8.01,28.5,58.7,12.1,0.039,1120,0,0,0,0,0,0,5.4,3,0.6,1.666666667,0.84,0.49,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,111,100,0,0,0,0,0,0,10.6,35.2,65.1,14.1,0.03892,1120,0,0,0,0,0,0,4.37,3,0.6,1.666666667,0.83,0.48,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,111,100,0,0,0,0,0,0,9.5,41,98,19.3,0.03892,1120,0,0,0,0,0,0,4.29,3,0.58,1.72,0.82,0.46,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,111,100,1,25,0,0,1,0,9.5,41,98,19.3,0.03892,1120,0,0,0,0,0,0,7.71,4,0.58,1.724137931,0.82,0.46,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,111,100,1,25,0,0,2,0,9.5,41,98,19.3,0.03892,1120,0,0,0,0,0,0,6.11,4,0.58,1.724137931,0.82,0.46,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,111,100,1,50,0,0,1,0,9.5,41,98,19.3,0.03892,1120,0,0,0,0,0,0,9.02,4,0.58,1.724137931,0.82,0.46,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,111,100,1,50,0,0,2,0,9.5,41,98,19.3,0.03892,1120,0,0,0,0,0,0,241,5,0.58,1.724137931,0.82,0.46,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,111,100,1,100,0,0,1,0,9.5,41,98,19.3,0.03892,1120,0,0,0,0,0,0,13.87,5,0.58,1.724137931,0.82,0.46,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,111,100,1,100,0,0,2,0,9.5,41,98,19.3,0.03892,1120,0,0,0,0,0,0,70.6,5,0.58,1.724137931,0.82,0.46,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,111,100,0,0,0,0,0,0,9.1,52.2,135,15.5,0.03892,1120,0,0,0,0,0,0,6.7,4,0.59,1.694915254,0.83,0.47,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,111,100,0,0,0,0,0,0,2.5,10,27.8,5.25,0.03643,1365,0,0,0,0,0,0,2.06,2,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,111,100,1,25,0,0,1,0,2.5,10,27.8,5.25,0.03643,1365,0,0,0,0,0,0,2.73,2,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,111,100,1,25,0,0,2,0,2.5,10,27.8,5.25,0.03643,1365,0,0,0,0,0,0,4.07,3,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,111,100,1,50,0,0,1,0,2.5,10,27.8,5.25,0.03643,1365,0,0,0,0,0,0,4.04,3,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,111,100,1,50,0,0,2,0,2.5,10,27.8,5.25,0.03643,1365,0,0,0,0,0,0,6.59,4,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,111,100,1,100,0,0,1,0,2.5,10,27.8,5.25,0.03643,1365,0,0,0,0,0,0,4.33,3,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,111,100,1,100,0,0,2,0,2.5,10,27.8,5.25,0.03643,1365,0,0,0,0,0,0,6.37,4,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,111,100,0,0,0,0,0,0,2.42,8.4,27.6,5.2,0.046,1290,0,0,0,0,0,0,1.18,1,0.61,1.639344262,0.81,0.5,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,111,100,1,25,0,0,1,0,2.42,8.4,27.6,5.2,0.046,1290,0,0,0,0,0,0,6.6,4,0.61,1.639344262,0.81,0.5,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,111,100,1,25,0,0,2,0,2.42,8.4,27.6,5.2,0.046,1290,0,0,0,0,0,0,6.55,4,0.61,1.639344262,0.81,0.5,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,111,100,1,50,0,0,1,0,2.42,8.4,27.6,5.2,0.046,1290,0,0,0,0,0,0,6.02,4,0.61,1.639344262,0.81,0.5,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,111,100,1,50,0,0,2,0,2.42,8.4,27.6,5.2,0.046,1290,0,0,0,0,0,0,5.69,3,0.61,1.639344262,0.81,0.5,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,111,100,1,100,0,0,1,0,2.42,8.4,27.6,5.2,0.046,1290,0,0,0,0,0,0,5.8,3,0.61,1.639344262,0.81,0.5,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,111,100,1,100,0,0,2,0,2.42,8.4,27.6,5.2,0.046,1290,0,0,0,0,0,0,5.12,3,0.61,1.639344262,0.81,0.5,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,222,0,0,0,0,0,0,0,0,0,0,0,0,0,21.2,64.2,143,42.9,0.04233,1562,7.26,4,0,0,0,0,0.57,1.754385965,0.79,0.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,333,25,0,0,0,0,0,0,3.1,20,82,7.3,0.041,1290,31.3,117,165.4,49.1,0.056,1563,6.1674,3,0.55,1.818181818,0.81,0.45,0.59,1.694915254,0.78,0.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,333,25,1,50,0,0,1,0,3.1,20,82,7.3,0.041,1290,31.3,117,165.4,49.1,0.056,1563,10.2367,4,0.55,1.818181818,0.81,0.45,0.59,1.694915254,0.78,0.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,333,25,1,75,0,0,1,0,3.1,20,82,7.3,0.041,1290,31.3,117,165.4,49.1,0.056,1563,12.2534,4,0.55,1.818181818,0.81,0.45,0.59,1.694915254,0.78,0.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,333,25,1,25,0,0,1,0,3.1,20,82,7.3,0.041,1290,31.3,117,165.4,49.1,0.056,1563,13.5836,4,0.55,1.818181818,0.81,0.45,0.59,1.694915254,0.78,0.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,333,25,1,1,0,0,1,0,3.1,20,82,7.3,0.041,1290,31.3,117,165.4,49.1,0.056,1563,14.8,4,0.55,1.818181818,0.81,0.45,0.59,1.694915254,0.78,0.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
